,Total Voltage (V),Resistor Voltage (V),LED Voltage (V),Current (mA)
175,0.58,0.02,0.56,0.09
176,0.57,0.01,0.56,0.05
177,0.58,0.01,0.57,0.05
178,0.59,0.0,0.59,0.0
179,0.58,0.02,0.56,0.09
180,0.59,0.0,0.59,0.0
181,0.58,0.01,0.57,0.05
182,0.6,0.01,0.59,0.05
183,0.64,0.01,0.63,0.05
184,0.59,0.01,0.58,0.05
185,0.61,0.01,0.6,0.05
186,0.61,0.0,0.61,0.0
187,0.61,0.01,0.6,0.05
188,0.59,0.0,0.59,0.0
189,0.58,0.0,0.58,0.0
190,0.63,0.01,0.62,0.05
191,0.63,0.01,0.62,0.05
192,0.63,0.01,0.62,0.05
193,0.63,0.0,0.63,0.0
194,0.64,0.0,0.64,0.0
195,0.64,0.01,0.63,0.05
196,0.65,0.01,0.64,0.05
197,0.61,0.01,0.6,0.05
198,0.65,0.01,0.64,0.05
199,0.65,0.01,0.64,0.05
200,0.66,0.01,0.65,0.05
201,0.64,0.01,0.63,0.05
202,0.66,0.01,0.65,0.05
203,0.65,0.0,0.65,0.0
204,0.67,0.01,0.66,0.05
205,0.67,0.0,0.67,0.0
206,0.7,0.01,0.69,0.05
207,0.67,0.0,0.67,0.0
208,0.68,0.01,0.67,0.05
209,0.69,0.0,0.69,0.0
210,0.68,0.01,0.67,0.05
211,0.69,0.01,0.68,0.05
212,0.65,0.0,0.65,0.0
213,0.7,0.01,0.69,0.05
214,0.75,0.0,0.75,0.0
215,0.7,0.0,0.7,0.0
216,0.68,0.0,0.68,0.0
217,0.71,0.01,0.7,0.05
218,0.71,0.01,0.7,0.05
219,0.72,0.01,0.71,0.05
220,0.72,0.01,0.71,0.05
221,0.72,0.0,0.72,0.0
222,0.73,0.01,0.72,0.05
223,0.73,0.0,0.73,0.0
224,0.74,0.0,0.74,0.0
225,0.74,0.01,0.73,0.05
226,0.74,0.01,0.73,0.05
227,0.74,0.01,0.73,0.05
228,0.74,0.01,0.73,0.05
229,0.75,0.0,0.75,0.0
230,0.75,0.0,0.75,0.0
231,0.75,0.0,0.75,0.0
232,0.75,0.0,0.75,0.0
233,0.76,0.01,0.75,0.05
234,0.76,0.0,0.76,0.0
235,0.76,0.01,0.75,0.05
236,0.77,0.02,0.75,0.09
237,0.77,0.0,0.77,0.0
238,0.77,0.01,0.76,0.05
239,0.76,0.01,0.75,0.05
240,0.83,0.02,0.81,0.09
241,0.79,0.01,0.78,0.05
242,0.79,0.0,0.79,0.0
243,0.79,0.01,0.78,0.05
