,Total Voltage (V),Resistor Voltage (V),LED Voltage (V),Current (mA)
763,2.47,0.03,2.44,0.14
764,2.48,0.03,2.45,0.14
765,2.47,0.03,2.44,0.14
766,2.48,0.03,2.45,0.14
767,2.49,0.03,2.46,0.14
768,2.49,0.03,2.46,0.14
769,2.49,0.03,2.46,0.14
770,2.5,0.02,2.48,0.09
771,2.5,0.04,2.46,0.18
772,2.5,0.04,2.46,0.18
773,2.5,0.04,2.46,0.18
774,2.49,0.05,2.44,0.23
775,2.51,0.04,2.47,0.18
776,2.51,0.05,2.46,0.23
777,2.52,0.05,2.47,0.23
778,2.51,0.05,2.46,0.23
779,2.52,0.05,2.47,0.23
780,2.52,0.05,2.47,0.23
781,2.53,0.05,2.48,0.23
782,2.54,0.06,2.48,0.27
783,2.53,0.06,2.47,0.27
784,2.54,0.06,2.48,0.27
785,2.56,0.06,2.5,0.27
786,2.54,0.07,2.47,0.32
787,2.59,0.04,2.55,0.18
788,2.56,0.06,2.5,0.27
789,2.55,0.07,2.48,0.32
790,2.56,0.06,2.5,0.27
791,2.56,0.08,2.48,0.36
792,2.56,0.07,2.49,0.32
793,2.56,0.08,2.48,0.36
794,2.57,0.08,2.49,0.36
795,2.57,0.08,2.49,0.36
796,2.58,0.08,2.5,0.36
797,2.56,0.08,2.48,0.36
798,2.58,0.09,2.49,0.41
799,2.58,0.11,2.47,0.5
800,2.59,0.08,2.51,0.36
801,2.55,0.09,2.46,0.41
802,2.59,0.09,2.5,0.41
803,2.56,0.1,2.46,0.45
804,2.6,0.1,2.5,0.45
805,2.6,0.1,2.5,0.45
806,2.61,0.11,2.5,0.5
807,2.61,0.11,2.5,0.5
808,2.57,0.11,2.46,0.5
809,2.62,0.08,2.54,0.36
810,2.62,0.12,2.5,0.55
811,2.62,0.11,2.51,0.5
812,2.63,0.12,2.51,0.55
813,2.63,0.12,2.51,0.55
814,2.64,0.13,2.51,0.59
815,2.59,0.12,2.47,0.55
816,2.64,0.14,2.5,0.64
817,2.63,0.14,2.49,0.64
818,2.65,0.13,2.52,0.59
819,2.65,0.13,2.52,0.59
820,2.65,0.14,2.51,0.64
821,2.64,0.12,2.52,0.55
822,2.66,0.13,2.53,0.59
823,2.64,0.14,2.5,0.64
824,2.66,0.14,2.52,0.64
825,2.66,0.15,2.51,0.68
826,2.68,0.15,2.53,0.68
827,2.68,0.15,2.53,0.68
828,2.67,0.15,2.52,0.68
829,2.73,0.15,2.58,0.68
830,2.65,0.16,2.49,0.73
831,2.68,0.16,2.52,0.73
832,2.69,0.16,2.53,0.73
833,2.7,0.15,2.55,0.68
834,2.7,0.17,2.53,0.77
835,2.71,0.17,2.54,0.77
836,2.7,0.17,2.53,0.77
837,2.7,0.18,2.52,0.82
838,2.7,0.18,2.52,0.82
839,2.71,0.19,2.52,0.86
840,2.67,0.18,2.49,0.82
841,2.72,0.19,2.53,0.86
842,2.73,0.19,2.54,0.86
843,2.73,0.18,2.55,0.82
844,2.73,0.19,2.54,0.86
845,2.73,0.2,2.53,0.91
846,2.74,0.2,2.54,0.91
847,2.73,0.26,2.47,1.18
848,2.74,0.21,2.53,0.95
849,2.72,0.2,2.52,0.91
850,2.74,0.21,2.53,0.95
851,2.75,0.21,2.54,0.95
852,2.76,0.21,2.55,0.95
853,2.76,0.22,2.54,1.0
854,2.75,0.22,2.53,1.0
855,2.75,0.21,2.54,0.95
856,2.77,0.18,2.59,0.82
857,2.76,0.23,2.53,1.05
858,2.78,0.23,2.55,1.05
859,2.77,0.23,2.54,1.05
860,2.79,0.23,2.56,1.05
861,2.77,0.23,2.54,1.05
862,2.78,0.24,2.54,1.09
863,2.79,0.24,2.55,1.09
864,2.79,0.25,2.54,1.14
865,2.79,0.25,2.54,1.14
866,2.8,0.25,2.55,1.14
867,2.8,0.25,2.55,1.14
868,2.81,0.26,2.55,1.18
869,2.8,0.26,2.54,1.18
870,2.8,0.26,2.54,1.18
871,2.81,0.26,2.55,1.18
872,2.81,0.26,2.55,1.18
873,2.82,0.26,2.56,1.18
874,2.82,0.27,2.55,1.23
875,2.82,0.26,2.56,1.18
876,2.83,0.28,2.55,1.27
877,2.83,0.28,2.55,1.27
878,2.83,0.28,2.55,1.27
879,2.84,0.23,2.61,1.05
880,2.83,0.28,2.55,1.27
881,2.84,0.28,2.56,1.27
882,2.85,0.29,2.56,1.32
883,2.84,0.33,2.51,1.5
884,2.89,0.25,2.64,1.14
885,2.85,0.29,2.56,1.32
886,2.86,0.3,2.56,1.36
887,2.86,0.3,2.56,1.36
888,2.85,0.31,2.54,1.41
889,2.86,0.31,2.55,1.41
890,2.87,0.32,2.55,1.45
891,2.88,0.31,2.57,1.41
892,2.88,0.32,2.56,1.45
893,2.88,0.32,2.56,1.45
894,2.88,0.32,2.56,1.45
895,2.89,0.32,2.57,1.45
896,2.89,0.33,2.56,1.5
897,2.82,0.33,2.49,1.5
898,2.89,0.3,2.59,1.36
899,2.89,0.33,2.56,1.5
900,2.9,0.34,2.56,1.55
901,2.91,0.34,2.57,1.55
902,2.91,0.34,2.57,1.55
903,2.91,0.34,2.57,1.55
904,2.91,0.35,2.56,1.59
905,2.92,0.35,2.57,1.59
906,2.92,0.4,2.52,1.82
907,2.92,0.35,2.57,1.59
908,2.93,0.36,2.57,1.64
909,2.93,0.36,2.57,1.64
910,2.93,0.29,2.64,1.32
911,2.94,0.29,2.65,1.32
912,2.93,0.37,2.56,1.68
913,2.94,0.3,2.64,1.36
914,2.95,0.34,2.61,1.55
915,2.94,0.37,2.57,1.68
916,2.95,0.37,2.58,1.68
917,2.95,0.38,2.57,1.73
918,2.95,0.38,2.57,1.73
919,2.94,0.38,2.56,1.73
920,2.97,0.39,2.58,1.77
921,2.97,0.39,2.58,1.77
922,2.97,0.39,2.58,1.77
923,2.97,0.4,2.57,1.82
924,2.97,0.4,2.57,1.82
925,2.98,0.4,2.58,1.82
926,2.98,0.41,2.57,1.86
927,2.98,0.49,2.49,2.23
928,2.98,0.41,2.57,1.86
929,2.95,0.42,2.53,1.91
930,2.99,0.41,2.58,1.86
931,3.0,0.42,2.58,1.91
932,3.0,0.43,2.57,1.95
933,3.0,0.42,2.58,1.91
934,3.01,0.43,2.58,1.95
935,3.0,0.42,2.58,1.91
936,3.01,0.43,2.58,1.95
937,3.01,0.43,2.58,1.95
938,3.02,0.44,2.58,2.0
939,3.02,0.44,2.58,2.0
940,3.03,0.5,2.53,2.27
941,2.98,0.44,2.54,2.0
942,3.03,0.45,2.58,2.05
943,3.02,0.45,2.57,2.05
944,3.03,0.45,2.58,2.05
945,3.03,0.45,2.58,2.05
946,3.04,0.45,2.59,2.05
947,3.04,0.46,2.58,2.09
948,3.05,0.46,2.59,2.09
949,3.0,0.46,2.54,2.09
950,3.04,0.47,2.57,2.14
951,3.05,0.46,2.59,2.09
952,3.02,0.44,2.58,2.0
953,3.06,0.48,2.58,2.18
954,3.07,0.45,2.62,2.05
955,3.05,0.47,2.58,2.14
956,3.07,0.47,2.6,2.14
957,3.07,0.48,2.59,2.18
958,3.08,0.49,2.59,2.23
959,3.08,0.48,2.6,2.18
960,3.08,0.49,2.59,2.23
961,3.09,0.5,2.59,2.27
962,3.09,0.49,2.6,2.23
963,3.07,0.49,2.58,2.23
964,3.09,0.49,2.6,2.23
965,3.1,0.5,2.6,2.27
966,3.1,0.49,2.61,2.23
967,3.13,0.52,2.61,2.36
968,3.11,0.51,2.6,2.32
969,3.11,0.51,2.6,2.32
970,3.17,0.52,2.65,2.36
971,3.12,0.52,2.6,2.36
972,3.11,0.51,2.6,2.32
973,3.12,0.53,2.59,2.41
974,3.13,0.51,2.62,2.32
975,3.12,0.53,2.59,2.41
976,3.11,0.52,2.59,2.36
977,3.13,0.53,2.6,2.41
978,3.12,0.53,2.59,2.41
979,3.13,0.53,2.6,2.41
980,3.12,0.62,2.5,2.82
981,3.13,0.54,2.59,2.45
982,3.13,0.53,2.6,2.41
983,3.12,0.55,2.57,2.5
984,3.2,0.53,2.67,2.41
985,3.13,0.53,2.6,2.41
986,3.12,0.53,2.59,2.41
987,3.12,0.53,2.59,2.41
988,3.12,0.53,2.59,2.41
989,3.12,0.53,2.59,2.41
990,3.12,0.53,2.59,2.41
991,3.12,0.53,2.59,2.41
992,3.12,0.53,2.59,2.41
993,3.12,0.63,2.49,2.86
994,3.13,0.53,2.6,2.41
995,3.12,0.53,2.59,2.41
996,3.13,0.53,2.6,2.41
997,3.12,0.53,2.59,2.41
998,3.12,0.54,2.58,2.45
999,3.14,0.53,2.61,2.41
1000,3.12,0.53,2.59,2.41
1001,3.13,0.53,2.6,2.41
1002,3.12,0.53,2.59,2.41
1003,3.12,0.53,2.59,2.41
1004,3.13,0.52,2.61,2.36
1005,3.12,0.53,2.59,2.41
1006,3.11,0.53,2.58,2.41
1007,3.12,0.53,2.59,2.41
1008,3.12,0.52,2.6,2.36
1009,3.12,0.53,2.59,2.41
1010,3.13,0.52,2.61,2.36
1011,3.12,0.54,2.58,2.45
1012,3.12,0.53,2.59,2.41
1013,3.13,0.53,2.6,2.41
1014,3.13,0.53,2.6,2.41
1015,3.13,0.53,2.6,2.41
1016,3.12,0.53,2.59,2.41
1017,3.13,0.53,2.6,2.41
1018,3.12,0.62,2.5,2.82
1019,3.12,0.53,2.59,2.41
1020,3.13,0.53,2.6,2.41
1021,3.12,0.53,2.59,2.41
1022,3.13,0.53,2.6,2.41
1023,3.12,0.52,2.6,2.36
